nohup: ignoring input
Training with a single process on 1 device (cuda:0).
Model mobile_former_294m created, param count:11835330
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
	interpolation: bicubic
	mean: (0.485, 0.456, 0.406)
	std: (0.229, 0.224, 0.225)
	crop_pct: 0.875
	crop_mode: center
Created AdamW (adamw) optimizer: lr: 5e-05, betas: (0.9, 0.999), eps: 1e-08, weight_decay: 1e-08, amsgrad: False, foreach: None, maximize: False, capturable: False
AMP not enabled. Training in torch.float32.
Scheduled epochs: 300 (epochs + cooldown_epochs). Warmup within epochs when warmup_prefix=False. LR stepped per epoch.
Train: 0 [4000/40036 ( 10%)]  Loss: 6.90 (6.89)  Time: 0.380s,   84.20/s  (0.379s,   84.39/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1517.1s / 13664.1s
Train: 0 [4050/40036 ( 10%)]  Loss: 6.83 (6.89)  Time: 0.376s,   85.06/s  (0.379s,   84.39/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1536.1s / 13645.5s
Train: 0 [4100/40036 ( 10%)]  Loss: 6.85 (6.89)  Time: 0.381s,   84.00/s  (0.379s,   84.39/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1555.1s / 13626.5s
Train: 0 [4150/40036 ( 10%)]  Loss: 6.83 (6.89)  Time: 0.375s,   85.38/s  (0.379s,   84.39/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1574.0s / 13607.1s
Train: 0 [4200/40036 ( 10%)]  Loss: 6.90 (6.89)  Time: 0.372s,   85.98/s  (0.379s,   84.40/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1592.8s / 13587.0s
Train: 0 [4250/40036 ( 11%)]  Loss: 6.87 (6.89)  Time: 0.374s,   85.48/s  (0.379s,   84.40/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1611.7s / 13567.7s
Train: 0 [4300/40036 ( 11%)]  Loss: 6.91 (6.89)  Time: 0.380s,   84.31/s  (0.379s,   84.40/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1630.7s / 13548.6s
Train: 0 [4350/40036 ( 11%)]  Loss: 6.93 (6.89)  Time: 0.374s,   85.62/s  (0.379s,   84.41/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1649.5s / 13528.4s
Train: 0 [4400/40036 ( 11%)]  Loss: 6.87 (6.89)  Time: 0.381s,   84.07/s  (0.379s,   84.41/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1668.4s / 13509.1s
Train: 0 [4450/40036 ( 11%)]  Loss: 6.93 (6.89)  Time: 0.381s,   83.98/s  (0.379s,   84.41/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1687.4s / 13490.9s
